"State","Year.Month","Report.Number"
"AK","2005-01",0
"AK","2005-02",2
"AK","2005-03",2
"AK","2005-04",8
"AK","2005-05",3
"AK","2005-06",5
"AK","2005-07",4
"AK","2005-08",8
"AK","2005-09",8
"AK","2005-10",2
"AK","2005-11",3
"AK","2005-12",2
"AK","2006-01",1
"AK","2006-02",6
"AK","2006-03",2
"AK","2006-04",2
"AK","2006-05",2
"AK","2006-06",11
"AK","2006-07",1
"AK","2006-08",13
"AK","2006-09",5
"AK","2006-10",3
"AK","2006-11",1
"AK","2006-12",22
"AK","2007-01",2
"AK","2007-02",5
"AK","2007-03",5
"AK","2007-04",2
"AK","2007-05",6
"AK","2007-06",5
"AK","2007-07",3
"AK","2007-08",4
"AK","2007-09",6
"AK","2007-10",3
"AK","2007-11",0
"AK","2007-12",6
"AK","2008-01",1
"AK","2008-02",2
"AK","2008-03",5
"AK","2008-04",5
"AK","2008-05",4
"AK","2008-06",8
"AK","2008-07",8
"AK","2008-08",9
"AK","2008-09",5
"AK","2008-10",7
"AK","2008-11",11
"AK","2008-12",17
"AK","2009-01",26
"AK","2009-02",13
"AK","2009-03",16
"AK","2009-04",17
"AK","2009-05",12
"AK","2009-06",23
"AK","2009-07",20
"AK","2009-08",14
"AK","2009-09",21
"AK","2009-10",9
"AK","2009-11",6
"AK","2009-12",4
"AK","2010-01",4
"AK","2010-02",8
"AK","2010-03",9
"AK","2010-04",9
"AK","2010-05",6
"AK","2010-06",10
"AK","2010-07",19
"AK","2010-08",7
"AK","2010-09",15
"AK","2010-10",18
"AK","2010-11",13
"AK","2010-12",7
"AK","2011-01",2
"AK","2011-02",13
"AK","2011-03",10
"AK","2011-04",13
"AK","2011-05",15
"AK","2011-06",15
"AK","2011-07",10
"AK","2011-08",13
"AK","2011-09",14
"AK","2011-10",8
"AK","2011-11",13
"AK","2011-12",10
"AK","2012-01",10
"AK","2012-02",5
"AK","2012-03",8
"AK","2012-04",8
"AK","2012-05",16
"AK","2012-06",31
"AK","2012-07",36
"AK","2012-08",23
"AK","2012-09",11
"AK","2012-10",24
"AK","2012-11",13
"AK","2012-12",21
"AK","2013-01",19
"AK","2013-02",12
"AK","2013-03",16
"AK","2013-04",16
"AK","2013-05",20
"AK","2013-06",19
"AK","2013-07",26
"AK","2013-08",18
"AK","2013-09",17
"AK","2013-10",22
"AK","2013-11",11
"AK","2013-12",16
"AK","2014-01",19
"AK","2014-02",13
"AK","2014-03",24
"AK","2014-04",23
"AK","2014-05",13
"AK","2014-06",12
"AK","2014-07",38
"AK","2014-08",25
"AK","2014-09",23
"AK","2014-10",14
"AK","2014-11",14
"AK","2014-12",12
"AK","2015-01",13
"AK","2015-02",3
"AK","2015-03",11
"AK","2015-04",22
"AK","2015-05",28
"AK","2015-06",20
"AK","2015-07",6
"AK","2015-08",14
"AK","2015-09",10
"AK","2015-10",5
"AK","2015-11",3
"AK","2015-12",6
"AK","2016-01",11
"AK","2016-02",4
"AK","2016-03",0
"AK","2016-04",0
"AL","2005-01",0
"AL","2005-02",14
"AL","2005-03",16
"AL","2005-04",9
"AL","2005-05",22
"AL","2005-06",29
"AL","2005-07",16
"AL","2005-08",24
"AL","2005-09",22
"AL","2005-10",22
"AL","2005-11",17
"AL","2005-12",19
"AL","2006-01",11
"AL","2006-02",15
"AL","2006-03",14
"AL","2006-04",26
"AL","2006-05",36
"AL","2006-06",27
"AL","2006-07",19
"AL","2006-08",22
"AL","2006-09",24
"AL","2006-10",20
"AL","2006-11",16
"AL","2006-12",16
"AL","2007-01",19
"AL","2007-02",16
"AL","2007-03",16
"AL","2007-04",19
"AL","2007-05",21
"AL","2007-06",19
"AL","2007-07",22
"AL","2007-08",20
"AL","2007-09",14
"AL","2007-10",18
"AL","2007-11",24
"AL","2007-12",15
"AL","2008-01",15
"AL","2008-02",13
"AL","2008-03",14
"AL","2008-04",16
"AL","2008-05",19
"AL","2008-06",10
"AL","2008-07",12
"AL","2008-08",10
"AL","2008-09",14
"AL","2008-10",16
"AL","2008-11",8
"AL","2008-12",8
"AL","2009-01",18
"AL","2009-02",6
"AL","2009-03",7
"AL","2009-04",9
"AL","2009-05",7
"AL","2009-06",12
"AL","2009-07",16
"AL","2009-08",13
"AL","2009-09",16
"AL","2009-10",10
"AL","2009-11",9
"AL","2009-12",6
"AL","2010-01",14
"AL","2010-02",11
"AL","2010-03",14
"AL","2010-04",19
"AL","2010-05",17
"AL","2010-06",16
"AL","2010-07",16
"AL","2010-08",18
"AL","2010-09",18
"AL","2010-10",15
"AL","2010-11",15
"AL","2010-12",10
"AL","2011-01",10
"AL","2011-02",17
"AL","2011-03",21
"AL","2011-04",19
"AL","2011-05",11
"AL","2011-06",23
"AL","2011-07",17
"AL","2011-08",15
"AL","2011-09",15
"AL","2011-10",17
"AL","2011-11",11
"AL","2011-12",9
"AL","2012-01",14
"AL","2012-02",8
"AL","2012-03",10
"AL","2012-04",14
"AL","2012-05",17
"AL","2012-06",23
"AL","2012-07",24
"AL","2012-08",14
"AL","2012-09",17
"AL","2012-10",17
"AL","2012-11",14
"AL","2012-12",17
"AL","2013-01",14
"AL","2013-02",16
"AL","2013-03",12
"AL","2013-04",22
"AL","2013-05",14
"AL","2013-06",24
"AL","2013-07",19
"AL","2013-08",22
"AL","2013-09",19
"AL","2013-10",25
"AL","2013-11",38
"AL","2013-12",11
"AL","2014-01",7
"AL","2014-02",17
"AL","2014-03",13
"AL","2014-04",22
"AL","2014-05",13
"AL","2014-06",19
"AL","2014-07",21
"AL","2014-08",22
"AL","2014-09",20
"AL","2014-10",23
"AL","2014-11",12
"AL","2014-12",14
"AL","2015-01",30
"AL","2015-02",20
"AL","2015-03",22
"AL","2015-04",14
"AL","2015-05",14
"AL","2015-06",21
"AL","2015-07",14
"AL","2015-08",19
"AL","2015-09",24
"AL","2015-10",19
"AL","2015-11",26
"AL","2015-12",24
"AL","2016-01",13
"AL","2016-02",9
"AL","2016-03",0
"AL","2016-04",0
"AR","2005-01",0
"AR","2005-02",16
"AR","2005-03",14
"AR","2005-04",15
"AR","2005-05",13
"AR","2005-06",19
"AR","2005-07",19
"AR","2005-08",27
"AR","2005-09",21
"AR","2005-10",21
"AR","2005-11",9
"AR","2005-12",16
"AR","2006-01",11
"AR","2006-02",20
"AR","2006-03",17
"AR","2006-04",24
"AR","2006-05",26
"AR","2006-06",23
"AR","2006-07",30
"AR","2006-08",12
"AR","2006-09",17
"AR","2006-10",17
"AR","2006-11",16
"AR","2006-12",10
"AR","2007-01",14
"AR","2007-02",7
"AR","2007-03",22
"AR","2007-04",14
"AR","2007-05",28
"AR","2007-06",26
"AR","2007-07",18
"AR","2007-08",28
"AR","2007-09",11
"AR","2007-10",20
"AR","2007-11",7
"AR","2007-12",5
"AR","2008-01",11
"AR","2008-02",18
"AR","2008-03",12
"AR","2008-04",19
"AR","2008-05",27
"AR","2008-06",25
"AR","2008-07",15
"AR","2008-08",15
"AR","2008-09",6
"AR","2008-10",11
"AR","2008-11",16
"AR","2008-12",13
"AR","2009-01",19
"AR","2009-02",6
"AR","2009-03",15
"AR","2009-04",19
"AR","2009-05",8
"AR","2009-06",19
"AR","2009-07",12
"AR","2009-08",15
"AR","2009-09",20
"AR","2009-10",10
"AR","2009-11",6
"AR","2009-12",5
"AR","2010-01",8
"AR","2010-02",9
"AR","2010-03",20
"AR","2010-04",13
"AR","2010-05",10
"AR","2010-06",21
"AR","2010-07",20
"AR","2010-08",17
"AR","2010-09",14
"AR","2010-10",17
"AR","2010-11",12
"AR","2010-12",10
"AR","2011-01",8
"AR","2011-02",15
"AR","2011-03",13
"AR","2011-04",14
"AR","2011-05",17
"AR","2011-06",23
"AR","2011-07",17
"AR","2011-08",21
"AR","2011-09",16
"AR","2011-10",7
"AR","2011-11",6
"AR","2011-12",7
"AR","2012-01",16
"AR","2012-02",7
"AR","2012-03",9
"AR","2012-04",10
"AR","2012-05",19
"AR","2012-06",17
"AR","2012-07",22
"AR","2012-08",28
"AR","2012-09",15
"AR","2012-10",12
"AR","2012-11",12
"AR","2012-12",16
"AR","2013-01",16
"AR","2013-02",12
"AR","2013-03",15
"AR","2013-04",16
"AR","2013-05",24
"AR","2013-06",19
"AR","2013-07",13
"AR","2013-08",19
"AR","2013-09",10
"AR","2013-10",12
"AR","2013-11",9
"AR","2013-12",7
"AR","2014-01",13
"AR","2014-02",6
"AR","2014-03",23
"AR","2014-04",10
"AR","2014-05",18
"AR","2014-06",21
"AR","2014-07",12
"AR","2014-08",12
"AR","2014-09",17
"AR","2014-10",9
"AR","2014-11",21
"AR","2014-12",8
"AR","2015-01",4
"AR","2015-02",9
"AR","2015-03",24
"AR","2015-04",10
"AR","2015-05",19
"AR","2015-06",15
"AR","2015-07",30
"AR","2015-08",20
"AR","2015-09",19
"AR","2015-10",26
"AR","2015-11",4
"AR","2015-12",10
"AR","2016-01",7
"AR","2016-02",3
"AR","2016-03",0
"AR","2016-04",0
"AS","2005-01",0
"AS","2005-02",0
"AS","2005-03",0
"AS","2005-04",0
"AS","2005-05",0
"AS","2005-06",0
"AS","2005-07",0
"AS","2005-08",0
"AS","2005-09",0
"AS","2005-10",0
"AS","2005-11",0
"AS","2005-12",0
"AS","2006-01",0
"AS","2006-02",0
"AS","2006-03",0
"AS","2006-04",0
"AS","2006-05",0
"AS","2006-06",0
"AS","2006-07",0
"AS","2006-08",0
"AS","2006-09",0
"AS","2006-10",0
"AS","2006-11",0
"AS","2006-12",0
"AS","2007-01",0
"AS","2007-02",0
"AS","2007-03",0
"AS","2007-04",0
"AS","2007-05",0
"AS","2007-06",0
"AS","2007-07",0
"AS","2007-08",0
"AS","2007-09",0
"AS","2007-10",0
"AS","2007-11",0
"AS","2007-12",0
"AS","2008-01",0
"AS","2008-02",0
"AS","2008-03",0
"AS","2008-04",0
"AS","2008-05",0
"AS","2008-06",0
"AS","2008-07",0
"AS","2008-08",0
"AS","2008-09",0
"AS","2008-10",0
"AS","2008-11",0
"AS","2008-12",0
"AS","2009-01",0
"AS","2009-02",0
"AS","2009-03",0
"AS","2009-04",0
"AS","2009-05",0
"AS","2009-06",0
"AS","2009-07",0
"AS","2009-08",0
"AS","2009-09",0
"AS","2009-10",0
"AS","2009-11",0
"AS","2009-12",0
"AS","2010-01",0
"AS","2010-02",0
"AS","2010-03",0
"AS","2010-04",0
"AS","2010-05",0
"AS","2010-06",0
"AS","2010-07",0
"AS","2010-08",0
"AS","2010-09",0
"AS","2010-10",0
"AS","2010-11",0
"AS","2010-12",0
"AS","2011-01",0
"AS","2011-02",0
"AS","2011-03",0
"AS","2011-04",0
"AS","2011-05",0
"AS","2011-06",0
"AS","2011-07",0
"AS","2011-08",0
"AS","2011-09",0
"AS","2011-10",0
"AS","2011-11",0
"AS","2011-12",0
"AS","2012-01",0
"AS","2012-02",0
"AS","2012-03",0
"AS","2012-04",0
"AS","2012-05",0
"AS","2012-06",0
"AS","2012-07",0
"AS","2012-08",0
"AS","2012-09",0
"AS","2012-10",0
"AS","2012-11",0
"AS","2012-12",0
"AS","2013-01",0
"AS","2013-02",0
"AS","2013-03",0
"AS","2013-04",0
"AS","2013-05",0
"AS","2013-06",0
"AS","2013-07",0
"AS","2013-08",0
"AS","2013-09",0
"AS","2013-10",0
"AS","2013-11",0
"AS","2013-12",0
"AS","2014-01",0
"AS","2014-02",0
"AS","2014-03",0
"AS","2014-04",0
"AS","2014-05",0
"AS","2014-06",0
"AS","2014-07",0
"AS","2014-08",0
"AS","2014-09",0
"AS","2014-10",0
"AS","2014-11",0
"AS","2014-12",0
"AS","2015-01",0
"AS","2015-02",0
"AS","2015-03",0
"AS","2015-04",0
"AS","2015-05",0
"AS","2015-06",0
"AS","2015-07",0
"AS","2015-08",0
"AS","2015-09",0
"AS","2015-10",0
"AS","2015-11",0
"AS","2015-12",0
"AS","2016-01",0
"AS","2016-02",0
"AS","2016-03",0
"AS","2016-04",0
"AZ","2005-01",0
"AZ","2005-02",25
"AZ","2005-03",31
"AZ","2005-04",26
"AZ","2005-05",26
"AZ","2005-06",25
"AZ","2005-07",16
"AZ","2005-08",31
"AZ","2005-09",30
"AZ","2005-10",28
"AZ","2005-11",20
"AZ","2005-12",18
"AZ","2006-01",23
"AZ","2006-02",27
"AZ","2006-03",35
"AZ","2006-04",32
"AZ","2006-05",47
"AZ","2006-06",35
"AZ","2006-07",26
"AZ","2006-08",39
"AZ","2006-09",34
"AZ","2006-10",35
"AZ","2006-11",15
"AZ","2006-12",26
"AZ","2007-01",44
"AZ","2007-02",26
"AZ","2007-03",31
"AZ","2007-04",27
"AZ","2007-05",34
"AZ","2007-06",26
"AZ","2007-07",26
"AZ","2007-08",26
"AZ","2007-09",20
"AZ","2007-10",26
"AZ","2007-11",32
"AZ","2007-12",28
"AZ","2008-01",18
"AZ","2008-02",27
"AZ","2008-03",18
"AZ","2008-04",25
"AZ","2008-05",20
"AZ","2008-06",35
"AZ","2008-07",47
"AZ","2008-08",24
"AZ","2008-09",33
"AZ","2008-10",46
"AZ","2008-11",21
"AZ","2008-12",21
"AZ","2009-01",17
"AZ","2009-02",16
"AZ","2009-03",17
"AZ","2009-04",27
"AZ","2009-05",22
"AZ","2009-06",30
"AZ","2009-07",36
"AZ","2009-08",16
"AZ","2009-09",18
"AZ","2009-10",16
"AZ","2009-11",7
"AZ","2009-12",16
"AZ","2010-01",20
"AZ","2010-02",12
"AZ","2010-03",15
"AZ","2010-04",17
"AZ","2010-05",16
"AZ","2010-06",29
"AZ","2010-07",32
"AZ","2010-08",27
"AZ","2010-09",18
"AZ","2010-10",11
"AZ","2010-11",24
"AZ","2010-12",24
"AZ","2011-01",24
"AZ","2011-02",20
"AZ","2011-03",25
"AZ","2011-04",35
"AZ","2011-05",28
"AZ","2011-06",30
"AZ","2011-07",37
"AZ","2011-08",38
"AZ","2011-09",22
"AZ","2011-10",24
"AZ","2011-11",17
"AZ","2011-12",17
"AZ","2012-01",18
"AZ","2012-02",17
"AZ","2012-03",23
"AZ","2012-04",26
"AZ","2012-05",26
"AZ","2012-06",22
"AZ","2012-07",15
"AZ","2012-08",40
"AZ","2012-09",21
"AZ","2012-10",31
"AZ","2012-11",15
"AZ","2012-12",8
"AZ","2013-01",22
"AZ","2013-02",17
"AZ","2013-03",26
"AZ","2013-04",20
"AZ","2013-05",30
"AZ","2013-06",30
"AZ","2013-07",45
"AZ","2013-08",24
"AZ","2013-09",32
"AZ","2013-10",32
"AZ","2013-11",14
"AZ","2013-12",17
"AZ","2014-01",22
"AZ","2014-02",16
"AZ","2014-03",30
"AZ","2014-04",20
"AZ","2014-05",31
"AZ","2014-06",29
"AZ","2014-07",27
"AZ","2014-08",24
"AZ","2014-09",32
"AZ","2014-10",22
"AZ","2014-11",26
"AZ","2014-12",21
"AZ","2015-01",24
"AZ","2015-02",19
"AZ","2015-03",35
"AZ","2015-04",36
"AZ","2015-05",18
