long,state,id,employees_mining_logging_1000,employees_mining_loging,num_of_producible_wells,num_of_producible_completions,num_producing_acres,predicted_incidents_2015,actual_incidents_2015
Alabama,AL,1,11.09166667,11091.66667,30,30,7842,234.3234672,247
Alaska,AK,2,17.36666667,17366.66667,100,123,16882,234.3234672,141
Arizona,AZ,4,12.49166667,12491.66667,1,1,0,426.5228758,355
Arkansas,AR,5,8.033333333,8033.333333,212,225,120927,234.3234672,190
California,CA,6,29.05833333,29058.33333,8047,8067,80921,234.3234672,1475
Colorado,CO,8,31.075,31075,6968,7047,1483943,234.3234672,372
Connecticut,CT,9,0.566666667,566.666667,0,0,0,136.3389356,202
Florida,FL,12,5.825,5825,0,0,0,426.5228758,662
Georgia,GA,13,9.058333333,9058.333333,0,0,0,426.5228758,620
Idaho,ID,16,3.808333333,3808.333333,0,0,0,136.3389356,33
Illinois,IL,17,9.5,9500,15,15,1581,426.5228758,1431
Indiana,IN,18,6.8,6800,2,2,68,426.5228758,578
Iowa,IA,19,2.275,2275,0,0,0,136.3389356,162
Kansas,KS,20,8.616666667,8616.666667,410,412,109392,234.3234672,371
Kentucky,KY,21,14.18333333,14183.33333,164,164,32916,426.5228758,416
Louisiana,LA,22,48.08333333,48083.33333,458,479,55493,234.3234672,235
Maine,ME,23,2.425,2425,0,0,0,136.3389356,34
Maryland,MD,24,1.491666667,1491.666667,9,9,0,136.3389356,254
Massachusetts,MA,25,1.083333333,1083.333333,0,0,0,136.3389356,214
Michigan,MI,26,7.658333333,7658.333333,88,90,30926,234.3234672,382
Minnesota,MN,27,6.958333333,6958.333333,0,0,0,426.5228758,254
Mississippi,MS,28,8.058333333,8058.333333,124,127,37999,234.3234672,129
Missouri,MO,29,4.116666667,4116.666667,0,0,0,136.3389356,319
Montana,MT,30,8.191666667,8191.666667,2703,2708,763286,234.3234672,84
Nebraska,NE,31,1.075,1075,31,31,8825,136.3389356,60
Nevada,NV,32,14.26666667,14266.66667,120,120,26201,234.3234672,131
New Hampshire,NH,33,0.958333333,958.333333,0,0,0,136.3389356,37
New Jersey,NJ,34,1.391666667,1391.666667,0,0,0,136.3389356,437
New Mexico,NM,35,25.58333333,25583.33333,30758,35831,3751887,234.3234672,87
New York,NY,36,5.291666667,5291.666667,6,6,1182,426.5228758,425
North Carolina,NC,37,5.55,5550,0,0,0,426.5228758,374
North Dakota,ND,38,23.325,23325,1634,1673,587855,234.3234672,59
Ohio,OH,39,14.05,14050,594,595,46100,1089.94,1091
Oklahoma,OK,40,54.31666667,54316.66667,482,485,147341,234.3234672,198
Oregon,OR,41,7.691666667,7691.666667,0,0,0,234.3234672,314
Pennsylvania,PA,42,33.93333333,33933.33333,207,207,4758,1089.94,822
Rhode Island,RI,44,0.2,200,0,0,0,136.3389356,32
South Carolina,SC,45,3.983333333,3983.333333,0,0,0,136.3389356,143
South Dakota,SD,46,0.908333333,908.333333,85,86,48482,136.3389356,26
Tennessee,TN,47,4.458333333,4458.333333,10,10,736,426.5228758,888
Texas,TX,48,273.7416667,273741.6667,561,562,166227,1235.961538,1558
Utah,UT,49,10.56666667,10566.66667,8952,9003,1134900,234.3234672,277
Vermont,VT,50,0.841666667,841.666667,0,0,0,136.3389356,10
Virginia,VA,51,9.016666667,9016.666667,18,20,14491,426.5228758,200
Washington,WA,53,6.216666667,6216.666667,0,0,0,426.5228758,241
West Virginia,WV,54,25.94166667,25941.66667,295,296,55810,234.3234672,78
Wisconsin,WI,55,4.158333333,4158.333333,0,0,0,136.3389356,286
Wyoming,WY,56,24.01666667,24016.66667,31400,32241,4023729,234.3234672,38
