year,State,number_of_hazardous_incidents
2007,AA,1
1972,AK,1
1973,AK,4
1974,AK,8
1975,AK,11
1976,AK,9
1977,AK,10
1978,AK,12
1979,AK,7
1980,AK,10
1981,AK,6
1982,AK,5
1983,AK,5
1984,AK,14
1985,AK,6
1986,AK,13
1987,AK,9
1988,AK,9
1989,AK,21
1990,AK,22
1991,AK,24
1992,AK,16
1993,AK,10
1994,AK,10
1995,AK,14
1996,AK,26
1997,AK,38
1998,AK,30
1999,AK,49
2000,AK,47
2001,AK,19
2002,AK,10
2003,AK,6
2004,AK,18
2005,AK,49
2006,AK,69
2007,AK,47
2008,AK,82
2009,AK,181
2010,AK,125
2011,AK,136
2012,AK,206
2013,AK,212
2014,AK,230
2015,AK,141
2016,AK,15
1971,AL,50
1972,AL,77
1973,AL,72
1974,AL,198
1975,AL,278
1976,AL,314
1977,AL,181
1978,AL,225
1979,AL,209
1980,AL,235
1981,AL,214
1982,AL,156
1983,AL,151
1984,AL,157
1985,AL,92
1986,AL,91
1987,AL,112
1988,AL,126
1989,AL,122
1990,AL,161
1991,AL,159
1992,AL,118
1993,AL,186
1994,AL,128
1995,AL,172
1996,AL,174
1997,AL,187
1998,AL,219
1999,AL,222
2000,AL,222
2001,AL,211
2002,AL,197
2003,AL,203
2004,AL,173
2005,AL,220
2006,AL,246
2007,AL,223
2008,AL,155
2009,AL,129
2010,AL,183
2011,AL,185
2012,AL,189
2013,AL,236
2014,AL,203
2015,AL,247
2016,AL,22
1971,AR,11
1972,AR,28
1973,AR,57
1974,AR,119
1975,AR,144
1976,AR,158
1977,AR,276
1978,AR,205
1979,AR,199
1980,AR,171
1981,AR,269
1982,AR,94
1983,AR,78
1984,AR,52
1985,AR,93
1986,AR,111
1987,AR,94
1988,AR,114
1989,AR,108
1990,AR,126
1991,AR,109
1992,AR,118
1993,AR,185
1994,AR,293
1995,AR,218
1996,AR,220
1997,AR,223
1998,AR,228
1999,AR,256
2000,AR,228
2001,AR,187
2002,AR,193
2003,AR,160
2004,AR,142
2005,AR,201
2006,AR,223
2007,AR,200
2008,AR,188
2009,AR,154
2010,AR,171
2011,AR,164
2012,AR,183
2013,AR,172
2014,AR,170
2015,AR,190
2016,AR,10
1971,AZ,41
1972,AZ,82
1973,AZ,93
1974,AZ,142
1975,AZ,153
1976,AZ,157
1977,AZ,155
1978,AZ,142
1979,AZ,141
1980,AZ,193
1981,AZ,176
1982,AZ,132
1983,AZ,118
1984,AZ,106
1985,AZ,95
1986,AZ,92
1987,AZ,55
1988,AZ,55
1989,AZ,67
1990,AZ,121
1991,AZ,78
1992,AZ,106
1993,AZ,128
1994,AZ,142
1995,AZ,140
1996,AZ,234
1997,AZ,342
1998,AZ,214
1999,AZ,302
2000,AZ,206
2001,AZ,226
2002,AZ,209
2003,AZ,239
2004,AZ,249
2005,AZ,287
2006,AZ,374
2007,AZ,346
2008,AZ,335
2009,AZ,238
2010,AZ,245
2011,AZ,317
2012,AZ,262
2013,AZ,309
2014,AZ,300
2015,AZ,355
2016,AZ,46
1971,CA,205
1972,CA,274
1973,CA,354
1974,CA,522
1975,CA,512
1976,CA,397
1977,CA,463
1978,CA,432
1979,CA,451
1980,CA,437
1981,CA,510
1982,CA,363
1983,CA,378
1984,CA,435
1985,CA,468
1986,CA,421
1987,CA,378
1988,CA,315
1989,CA,453
1990,CA,772
1991,CA,825
1992,CA,884
1993,CA,1309
1994,CA,1436
1995,CA,1142
1996,CA,964
1997,CA,1039
1998,CA,1154
1999,CA,1242
2000,CA,1224
2001,CA,1328
2002,CA,1125
2003,CA,1214
2004,CA,1219
2005,CA,1299
2006,CA,1872
2007,CA,1791
2008,CA,1618
2009,CA,1448
2010,CA,1342
2011,CA,1404
2012,CA,1307
2013,CA,1457
2014,CA,1472
2015,CA,1475
2016,CA,143
1971,CO,51
1972,CO,63
1973,CO,62
1974,CO,98
1975,CO,109
1976,CO,114
1977,CO,175
1978,CO,157
1979,CO,167
1980,CO,112
1981,CO,147
1982,CO,111
1983,CO,108
1984,CO,92
1985,CO,73
1986,CO,96
1987,CO,85
1988,CO,80
1989,CO,143
1990,CO,126
1991,CO,155
1992,CO,246
1993,CO,280
1994,CO,427
1995,CO,346
1996,CO,445
1997,CO,326
1998,CO,268
1999,CO,227
2000,CO,262
2001,CO,355
2002,CO,334
2003,CO,379
2004,CO,362
2005,CO,270
2006,CO,441
2007,CO,461
2008,CO,405
2009,CO,396
2010,CO,380
2011,CO,410
2012,CO,389
2013,CO,344
2014,CO,374
2015,CO,372
2016,CO,48
