long,state,id,employees_mining_logging_1000,employees_mining_loging,num_of_producible_wells,num_of_producible_completions,num_producing_acres,actual_incidents_2015,predicted_incidents_2015,predicted_incidents_2016,predicted_incidents_2017,predicted_incidents_2018,predicted_incidents_2019,predicted_incidents_2020,predicted_incidents_2021
Alabama,AL,1,11.09166667,11091.66667,30,30,7842,247,234.3234672,47,60,429,218,144,228
Alaska,AK,2,17.36666667,17366.66667,100,123,16882,141,234.3234672,263,204,128,231,79,229
Arizona,AZ,4,12.49166667,12491.66667,1,1,0,355,426.5228758,539,430,288,423,322,474
Arkansas,AR,5,8.033333333,8033.333333,212,225,120927,190,234.3234672,28,330,52,86,12,273
California,CA,6,29.05833333,29058.33333,8047,8067,80921,1475,234.3234672,2328,1463,1276,2946,2464,2542
Colorado,CO,8,31.075,31075,6968,7047,1483943,372,234.3234672,203,291,662,70,532,628
Connecticut,CT,9,0.566666667,566.666667,0,0,0,202,136.3389356,241,6,220,120,257,74
Florida,FL,12,5.825,5825,0,0,0,662,426.5228758,307,274,29,26,397,77
Georgia,GA,13,9.058333333,9058.333333,0,0,0,620,426.5228758,532,248,786,1225,783,848
Idaho,ID,16,3.808333333,3808.333333,0,0,0,33,136.3389356,26,29,4,24,54,32
Illinois,IL,17,9.5,9500,15,15,1581,1431,426.5228758,2448,2137,678,2318,1207,2098
Indiana,IN,18,6.8,6800,2,2,68,578,426.5228758,1125,791,104,837,99,654
Iowa,IA,19,2.275,2275,0,0,0,162,136.3389356,164,207,59,316,136,86
Kansas,KS,20,8.616666667,8616.666667,410,412,109392,371,234.3234672,709,186,282,596,439,175
Kentucky,KY,21,14.18333333,14183.33333,164,164,32916,416,426.5228758,37,418,307,27,542,792
Louisiana,LA,22,48.08333333,48083.33333,458,479,55493,235,234.3234672,211,38,19,314,262,209
Maine,ME,23,2.425,2425,0,0,0,34,136.3389356,25,62,43,16,60,53
Maryland,MD,24,1.491666667,1491.666667,9,9,0,254,136.3389356,0,185,346,124,364,242
Massachusetts,MA,25,1.083333333,1083.333333,0,0,0,214,136.3389356,45,382,63,364,261,326
Michigan,MI,26,7.658333333,7658.333333,88,90,30926,382,234.3234672,225,81,382,521,190,349
Minnesota,MN,27,6.958333333,6958.333333,0,0,0,254,426.5228758,431,116,266,203,248,393
Mississippi,MS,28,8.058333333,8058.333333,124,127,37999,129,234.3234672,120,72,170,10,258,59
Missouri,MO,29,4.116666667,4116.666667,0,0,0,319,136.3389356,32,149,297,149,249,145
Montana,MT,30,8.191666667,8191.666667,2703,2708,763286,84,234.3234672,144,105,154,78,49,20
Nebraska,NE,31,1.075,1075,31,31,8825,60,136.3389356,47,26,41,103,11,47
Nevada,NV,32,14.26666667,14266.66667,120,120,26201,131,234.3234672,151,247,137,178,125,119
New Hampshire,NH,33,0.958333333,958.333333,0,0,0,37,136.3389356,26,65,40,0,40,20
New Jersey,NJ,34,1.391666667,1391.666667,0,0,0,437,136.3389356,567,376,362,608,275,283
New Mexico,NM,35,25.58333333,25583.33333,30758,35831,3751887,87,234.3234672,28,11,103,133,18,115
New York,NY,36,5.291666667,5291.666667,6,6,1182,425,426.5228758,11,50,255,721,5,185
North Carolina,NC,37,5.55,5550,0,0,0,374,426.5228758,387,706,705,299,743,494
North Dakota,ND,38,23.325,23325,1634,1673,587855,59,234.3234672,30,73,12,105,31,82
Ohio,OH,39,14.05,14050,594,595,46100,1091,1089.94,749,1607,1473,1100,1407,345
Oklahoma,OK,40,54.31666667,54316.66667,482,485,147341,198,234.3234672,180,121,173,277,148,258
Oregon,OR,41,7.691666667,7691.666667,0,0,0,314,234.3234672,414,362,289,446,619,295
Pennsylvania,PA,42,33.93333333,33933.33333,207,207,4758,822,1089.94,626,1153,1533,779,1561,1054
Rhode Island,RI,44,0.2,200,0,0,0,32,136.3389356,6,53,13,7,33,49
South Carolina,SC,45,3.983333333,3983.333333,0,0,0,143,136.3389356,175,57,92,176,195,10
South Dakota,SD,46,0.908333333,908.333333,85,86,48482,26,136.3389356,47,4,10,52,18,3
Tennessee,TN,47,4.458333333,4458.333333,10,10,736,888,426.5228758,1129,1664,1149,537,1582,57
Texas,TX,48,273.7416667,273741.6667,561,562,166227,1558,1235.961538,2937,3043,255,2034,2710,48
Utah,UT,49,10.56666667,10566.66667,8952,9003,1134900,277,234.3234672,84,288,308,98,21,20
Vermont,VT,50,0.841666667,841.666667,0,0,0,10,136.3389356,5,5,16,9,18,12
Virginia,VA,51,9.016666667,9016.666667,18,20,14491,200,426.5228758,229,215,61,312,395,33
Washington,WA,53,6.216666667,6216.666667,0,0,0,241,426.5228758,238,325,195,384,480,46
West Virginia,WV,54,25.94166667,25941.66667,295,296,55810,78,234.3234672,40,129,125,96,53,48
Wisconsin,WI,55,4.158333333,4158.333333,0,0,0,286,136.3389356,462,353,568,108,91,517
Wyoming,WY,56,24.01666667,24016.66667,31400,32241,4023729,38,234.3234672,53,64,58,13,63,6
